Name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iceland,39.83 ,42.11 ,47.06 ,49.25 ,45.81 ,45.47 ,44.79 ,41.20 ,42.02 ,44.13 
The Nordic countries,37.77 ,32.98 ,29.49 ,29.24 ,30.79 ,33.77 ,38.75 ,30.72 ,29.34 ,26.66 
Switzerland,49.70 ,53.29 ,57.03 ,56.65 ,59.87 ,52.59 ,50.51 ,54.23 ,54.48 ,53.90 
SouthKorea,33.27 ,34.63 ,34.85 ,34.59 ,35.02 ,34.70 ,34.89 ,35.13 ,35.87 ,35.12 
Australia,21.17 ,18.64 ,15.66 ,14.06 ,17.14 ,20.17 ,24.73 ,34.91 ,51.59 ,45.04 
Brazil,18.80 ,21.80 ,21.83 ,21.42 ,21.69 ,20.55 ,17.41 ,14.97 ,15.04 ,15.42 
China,46.52 ,47.72 ,47.82 ,47.39 ,47.57 ,47.21 ,45.60 ,44.47 ,44.34 ,44.06 
France,41.42 ,42.90 ,42.60 ,43.44 ,44.44 ,44.57 ,44.29 ,44.09 ,44.73 ,..
Germany,24.74 ,26.85 ,27.07 ,27.28 ,26.78 ,27.01 ,27.06 ,27.50 ,27.44 ,27.46 
India,61.40 ,58.20 ,55.10 ,52.10 ,49.10 ,46.30 ,43.60 ,41.10 ,38.70 ,36.60 
Italy,37.38 ,37.05 ,36.78 ,38.29 ,38.62 ,38.34 ,38.25 ,38.19 ,37.73 ,..
Japan,21.32 ,21.30 ,22.10 ,22.65 ,23.19 ,23.92 ,24.02 ,23.41 ,23.90 ,24.41 
United States,34.92 ,32.59 ,30.27 ,27.94 ,26.32 ,24.71 ,23.09 ,21.48 ,19.86 ,..
